record_type,name,index,x,y,start_idx,end_idx,speed_sign,rcs_start,speed_mps,accel_dist,decel_dist,coord_mode,origin_key,origin_label,origin_x,origin_y,origin_z
meta,预设轨迹1,,,,,,,,,,,fixed_origin,__manual_xy_anchor__,手动锚点,0.000000,0.000000,0.000000
point,预设轨迹1,0,0.000000,0.000000,,,,,,,,,,,,,
point,预设轨迹1,1,0.000000,20.000000,,,,,,,,,,,,,
point,预设轨迹1,2,0.000000,0.000000,,,,,,,,,,,,,
point,预设轨迹1,3,0.000000,20.000000,,,,,,,,,,,,,
point,预设轨迹1,4,0.000000,0.000000,,,,,,,,,,,,,
segment,预设轨迹1,0,,,0,1,1,0,1.000,1.500,1.500,,,,,,
segment,预设轨迹1,1,,,1,2,-1,0,1.000,1.500,1.500,,,,,,
segment,预设轨迹1,2,,,2,3,1,0,1.000,1.500,1.500,,,,,,
segment,预设轨迹1,3,,,3,4,-1,0,1.000,1.500,1.500,,,,,,
meta,预设轨迹2,,,,,,,,,,,fixed_origin,__manual_xy_anchor__,手动锚点,0.000000,0.000000,0.000000
point,预设轨迹2,0,0.000000,0.000000,,,,,,,,,,,,,
point,预设轨迹2,1,0.000000,20.000000,,,,,,,,,,,,,
point,预设轨迹2,2,0.000000,0.000000,,,,,,,,,,,,,
point,预设轨迹2,3,0.000000,20.000000,,,,,,,,,,,,,
point,预设轨迹2,4,0.000000,0.000000,,,,,,,,,,,,,
segment,预设轨迹2,0,,,0,1,1,0,2.000,1.500,1.500,,,,,,
segment,预设轨迹2,1,,,1,2,-1,0,2.000,1.500,1.500,,,,,,
segment,预设轨迹2,2,,,2,3,1,0,2.000,1.500,1.500,,,,,,
segment,预设轨迹2,3,,,3,4,-1,0,2.000,1.500,1.500,,,,,,
meta,预设轨迹3,,,,,,,,,,,fixed_origin,__manual_xy_anchor__,手动锚点,0.000000,0.000000,0.000000
point,预设轨迹3,0,0.000000,0.000000,,,,,,,,,,,,,
point,预设轨迹3,1,0.000000,20.000000,,,,,,,,,,,,,
point,预设轨迹3,2,0.000000,0.000000,,,,,,,,,,,,,
point,预设轨迹3,3,0.000000,20.000000,,,,,,,,,,,,,
