product_code,product_label,angle,distance_m,lower_dbsm,upper_dbsm
bicycle,自行车,90度,12.0,-10.659943115903017,-0.6599431159030171
bicycle,自行车,90度,13.0,-10.129332448482396,-0.12933244848239767
bicycle,自行车,90度,14.0,-9.635082142357795,0.36491785764220275
bicycle,自行车,90度,15.0,-9.175156097626799,0.8248439023731979
bicycle,自行车,90度,16.0,-8.747518214386982,1.2524817856130124
bicycle,自行车,90度,17.0,-8.35013239273593,1.649867607264067
bicycle,自行车,90度,18.0,-7.9809625327712155,2.0190374672287774
bicycle,自行车,90度,19.0,-7.637972534590421,2.3620274654095716
bicycle,自行车,90度,20.0,-7.319126298291131,2.6808737017088635
bicycle,自行车,90度,21.0,-7.022387723970915,2.9776122760290757
bicycle,自行车,90度,22.0,-6.745720711727364,3.2542792882726292
bicycle,自行车,90度,23.0,-6.48708916165805,3.512910838341943
bicycle,自行车,90度,24.0,-6.244456973860554,3.7555430261394367
bicycle,自行车,90度,25.0,-6.01578804843246,3.9842119515675325
bicycle,自行车,90度,26.0,-5.799046285471345,4.20095371452865
bicycle,自行车,90度,27.0,-5.5921955850747835,4.407804414925209
bicycle,自行车,90度,28.0,-5.393199847340362,4.606800152659632
bicycle,自行车,90度,29.0,-5.200022972365659,4.799977027634334
bicycle,自行车,90度,30.0,-5.010628860248248,4.989371139751741
bicycle,自行车,90度,31.0,-4.822981411085719,5.177018588914272
bicycle,自行车,90度,32.0,-4.635044524975648,5.364955475024347
bicycle,自行车,90度,33.0,-4.4447821020156155,5.555217897984386
bicycle,自行车,90度,34.0,-4.250158042303191,5.749841957696807
bicycle,自行车,90度,35.0,-4.049136245935962,5.950863754064033
bicycle,自行车,90度,36.0,-3.839680613011513,6.160319386988485
bicycle,自行车,90度,37.0,-3.6197550436274177,6.380244956372584
bicycle,自行车,90度,38.0,-3.3873234378812533,6.612676562118745
bicycle,自行车,90度,39.0,-3.1403496958706114,6.85965030412939
bicycle,自行车,90度,40.0,-2.8767977176930586,7.123202282306947
bicycle,自行车,90度,41.0,-2.5946314034461864,7.405368596553833
bicycle,自行车,90度,42.0,-2.291814653227558,7.708185346772462
bicycle,自行车,90度,43.0,-1.966311367134761,8.033688632865259
bicycle,自行车,90度,44.0,-1.6160854452653801,8.383914554734638
bicycle,自行车,90度,45.0,-1.2391007877169926,8.760899212283027
bicycle,自行车,90度,46.0,-0.8333212945871864,9.166678705412844
bicycle,自行车,90度,47.0,-0.39671086597351746,9.603289134026502
bicycle,自行车,90度,48.0,0.0727665980264085,10.072766598026446
bicycle,自行车,90度,49.0,0.5771471973150284,10.577147197315073
bicycle,自行车,90度,50.0,1.1184670317947578,11.118467031794806
bicycle,自行车,90度,51.0,1.6987622013680195,11.698762201368067
bicycle,自行车,90度,52.0,2.3200688059372254,12.32006880593728
bicycle,自行车,120度,1.0,-19.478768875159524,-9.478768875159515
bicycle,自行车,120度,2.0,-18.41381163992292,-8.41381163992291
bicycle,自行车,120度,3.0,-17.407611864908958,-7.407611864908951
bicycle,自行车,120度,4.0,-16.45813345021522,-6.458133450215216
bicycle,自行车,120度,5.0,-15.563340295939293,-5.5633402959392875
bicycle,自行车,120度,6.0,-14.721196302178747,-4.721196302178743
bicycle,自行车,120度,7.0,-13.929665369031166,-3.929665369031163
bicycle,自行车,120度,8.0,-13.186711396594129,-3.186711396594127
bicycle,自行车,120度,9.0,-12.490298284965217,-2.490298284965215
bicycle,自行车,120度,10.0,-11.838389934242006,-1.8383899342420076
bicycle,自行车,120度,11.0,-11.22895024452208,-1.2289502445220801
bicycle,自行车,120度,12.0,-10.659943115903017,-0.6599431159030171
bicycle,自行车,120度,13.0,-10.129332448482396,-0.12933244848239767
bicycle,自行车,120度,14.0,-9.635082142357795,0.36491785764220275
bicycle,自行车,120度,15.0,-9.175156097626799,0.8248439023731979
bicycle,自行车,120度,16.0,-8.747518214386982,1.2524817856130124
bicycle,自行车,120度,17.0,-8.35013239273593,1.649867607264067
bicycle,自行车,120度,18.0,-7.9809625327712155,2.0190374672287774
bicycle,自行车,120度,19.0,-7.637972534590421,2.3620274654095716
bicycle,自行车,120度,20.0,-7.319126298291131,2.6808737017088635
bicycle,自行车,120度,21.0,-7.022387723970915,2.9776122760290757
bicycle,自行车,120度,22.0,-6.745720711727364,3.2542792882726292
bicycle,自行车,120度,23.0,-6.48708916165805,3.512910838341943
bicycle,自行车,120度,24.0,-6.244456973860554,3.7555430261394367
bicycle,自行车,120度,25.0,-6.01578804843246,3.9842119515675325
bicycle,自行车,120度,26.0,-5.799046285471345,4.20095371452865
bicycle,自行车,120度,27.0,-5.5921955850747835,4.407804414925209
bicycle,自行车,120度,28.0,-5.393199847340362,4.606800152659632
bicycle,自行车,120度,29.0,-5.200022972365659,4.799977027634334
bicycle,自行车,120度,30.0,-5.010628860248248,4.989371139751741
bicycle,自行车,120度,31.0,-4.822981411085719,5.177018588914272
bicycle,自行车,120度,32.0,-4.635044524975648,5.364955475024347
bicycle,自行车,120度,33.0,-4.4447821020156155,5.555217897984386
bicycle,自行车,120度,34.0,-4.250158042303191,5.749841957696807
bicycle,自行车,120度,35.0,-4.049136245935962,5.950863754064033
bicycle,自行车,120度,36.0,-3.839680613011513,6.160319386988485
bicycle,自行车,120度,37.0,-3.6197550436274177,6.380244956372584
bicycle,自行车,120度,38.0,-3.3873234378812533,6.612676562118745
bicycle,自行车,120度,39.0,-3.1403496958706114,6.85965030412939
bicycle,自行车,120度,40.0,-2.8767977176930586,7.123202282306947
bicycle,自行车,120度,41.0,-2.5946314034461864,7.405368596553833
bicycle,自行车,120度,42.0,-2.291814653227558,7.708185346772462
bicycle,自行车,120度,43.0,-1.966311367134761,8.033688632865259
bicycle,自行车,120度,44.0,-1.6160854452653801,8.383914554734638
bicycle,自行车,120度,45.0,-1.2391007877169926,8.760899212283027
bicycle,自行车,120度,46.0,-0.8333212945871864,9.166678705412844
bicycle,自行车,120度,47.0,-0.39671086597351746,9.603289134026502
bicycle,自行车,120度,48.0,0.0727665980264085,10.072766598026446
bicycle,自行车,120度,49.0,0.5771471973150284,10.577147197315073
bicycle,自行车,120度,50.0,1.1184670317947578,11.118467031794806
bicycle,自行车,120度,51.0,1.6987622013680195,11.698762201368067
bicycle,自行车,120度,52.0,2.3200688059372254,12.32006880593728
bicycle,自行车,150度,1.0,-19.478768875159524,-9.478768875159515
bicycle,自行车,150度,2.0,-18.41381163992292,-8.41381163992291
bicycle,自行车,150度,3.0,-17.407611864908958,-7.407611864908951
bicycle,自行车,150度,4.0,-16.45813345021522,-6.458133450215216
bicycle,自行车,150度,5.0,-15.563340295939293,-5.5633402959392875
bicycle,自行车,150度,6.0,-14.721196302178747,-4.721196302178743
bicycle,自行车,150度,7.0,-13.929665369031166,-3.929665369031163
bicycle,自行车,150度,8.0,-13.186711396594129,-3.186711396594127
bicycle,自行车,150度,9.0,-12.490298284965217,-2.490298284965215
bicycle,自行车,150度,10.0,-11.838389934242006,-1.8383899342420076
bicycle,自行车,150度,11.0,-11.22895024452208,-1.2289502445220801
bicycle,自行车,150度,12.0,-10.659943115903017,-0.6599431159030171
bicycle,自行车,150度,13.0,-10.129332448482396,-0.12933244848239767
bicycle,自行车,150度,14.0,-9.635082142357795,0.36491785764220275
bicycle,自行车,150度,15.0,-9.175156097626799,0.8248439023731979
bicycle,自行车,150度,16.0,-8.747518214386982,1.2524817856130124
bicycle,自行车,150度,17.0,-8.35013239273593,1.649867607264067
bicycle,自行车,150度,18.0,-7.9809625327712155,2.0190374672287774
bicycle,自行车,150度,19.0,-7.637972534590421,2.3620274654095716
bicycle,自行车,150度,20.0,-7.319126298291131,2.6808737017088635
bicycle,自行车,150度,21.0,-7.022387723970915,2.9776122760290757
bicycle,自行车,150度,22.0,-6.745720711727364,3.2542792882726292
bicycle,自行车,150度,23.0,-6.48708916165805,3.512910838341943
bicycle,自行车,150度,24.0,-6.244456973860554,3.7555430261394367
bicycle,自行车,150度,25.0,-6.01578804843246,3.9842119515675325
bicycle,自行车,150度,26.0,-5.799046285471345,4.20095371452865
bicycle,自行车,150度,27.0,-5.5921955850747835,4.407804414925209
bicycle,自行车,150度,28.0,-5.393199847340362,4.606800152659632
bicycle,自行车,150度,29.0,-5.200022972365659,4.799977027634334
bicycle,自行车,150度,30.0,-5.010628860248248,4.989371139751741
bicycle,自行车,150度,31.0,-4.822981411085719,5.177018588914272
bicycle,自行车,150度,32.0,-4.635044524975648,5.364955475024347
bicycle,自行车,150度,33.0,-4.4447821020156155,5.555217897984386
bicycle,自行车,150度,34.0,-4.250158042303191,5.749841957696807
bicycle,自行车,150度,35.0,-4.049136245935962,5.950863754064033
bicycle,自行车,150度,36.0,-3.839680613011513,6.160319386988485
bicycle,自行车,150度,37.0,-3.6197550436274177,6.380244956372584
bicycle,自行车,150度,38.0,-3.3873234378812533,6.612676562118745
bicycle,自行车,150度,39.0,-3.1403496958706114,6.85965030412939
bicycle,自行车,150度,40.0,-2.8767977176930586,7.123202282306947
bicycle,自行车,150度,41.0,-2.5946314034461864,7.405368596553833
bicycle,自行车,150度,42.0,-2.291814653227558,7.708185346772462
bicycle,自行车,150度,43.0,-1.966311367134761,8.033688632865259
bicycle,自行车,150度,44.0,-1.6160854452653801,8.383914554734638
bicycle,自行车,150度,45.0,-1.2391007877169926,8.760899212283027
bicycle,自行车,150度,46.0,-0.8333212945871864,9.166678705412844
bicycle,自行车,150度,47.0,-0.39671086597351746,9.603289134026502
bicycle,自行车,150度,48.0,0.0727665980264085,10.072766598026446
bicycle,自行车,150度,49.0,0.5771471973150284,10.577147197315073
bicycle,自行车,150度,50.0,1.1184670317947578,11.118467031794806
bicycle,自行车,150度,51.0,1.6987622013680195,11.698762201368067
bicycle,自行车,150度,52.0,2.3200688059372254,12.32006880593728
bicycle,自行车,180度,1.0,-19.478768875159524,-9.478768875159515
bicycle,自行车,180度,2.0,-18.41381163992292,-8.41381163992291
bicycle,自行车,180度,3.0,-17.407611864908958,-7.407611864908951
bicycle,自行车,180度,4.0,-16.45813345021522,-6.458133450215216
bicycle,自行车,180度,5.0,-15.563340295939293,-5.5633402959392875
bicycle,自行车,180度,6.0,-14.721196302178747,-4.721196302178743
bicycle,自行车,180度,7.0,-13.929665369031166,-3.929665369031163
bicycle,自行车,180度,8.0,-13.186711396594129,-3.186711396594127
bicycle,自行车,180度,9.0,-12.490298284965217,-2.490298284965215
bicycle,自行车,180度,10.0,-11.838389934242006,-1.8383899342420076
bicycle,自行车,180度,11.0,-11.22895024452208,-1.2289502445220801
bicycle,自行车,180度,12.0,-10.659943115903017,-0.6599431159030171
bicycle,自行车,180度,13.0,-10.129332448482396,-0.12933244848239767
bicycle,自行车,180度,14.0,-9.635082142357795,0.36491785764220275
bicycle,自行车,180度,15.0,-9.175156097626799,0.8248439023731979
bicycle,自行车,180度,16.0,-8.747518214386982,1.2524817856130124
bicycle,自行车,180度,17.0,-8.35013239273593,1.649867607264067
bicycle,自行车,180度,18.0,-7.9809625327712155,2.0190374672287774
bicycle,自行车,180度,19.0,-7.637972534590421,2.3620274654095716
bicycle,自行车,180度,20.0,-7.319126298291131,2.6808737017088635
bicycle,自行车,180度,21.0,-7.022387723970915,2.9776122760290757
bicycle,自行车,180度,22.0,-6.745720711727364,3.2542792882726292
bicycle,自行车,180度,23.0,-6.48708916165805,3.512910838341943
bicycle,自行车,180度,24.0,-6.244456973860554,3.7555430261394367
bicycle,自行车,180度,25.0,-6.01578804843246,3.9842119515675325
bicycle,自行车,180度,26.0,-5.799046285471345,4.20095371452865
bicycle,自行车,180度,27.0,-5.5921955850747835,4.407804414925209
bicycle,自行车,180度,28.0,-5.393199847340362,4.606800152659632
bicycle,自行车,180度,29.0,-5.200022972365659,4.799977027634334
bicycle,自行车,180度,30.0,-5.010628860248248,4.989371139751741
bicycle,自行车,180度,31.0,-4.822981411085719,5.177018588914272
bicycle,自行车,180度,32.0,-4.635044524975648,5.364955475024347
bicycle,自行车,180度,33.0,-4.4447821020156155,5.555217897984386
bicycle,自行车,180度,34.0,-4.250158042303191,5.749841957696807
bicycle,自行车,180度,35.0,-4.049136245935962,5.950863754064033
bicycle,自行车,180度,36.0,-3.839680613011513,6.160319386988485
bicycle,自行车,180度,37.0,-3.6197550436274177,6.380244956372584
bicycle,自行车,180度,38.0,-3.3873234378812533,6.612676562118745
bicycle,自行车,180度,39.0,-3.1403496958706114,6.85965030412939
bicycle,自行车,180度,40.0,-2.8767977176930586,7.123202282306947
bicycle,自行车,180度,41.0,-2.5946314034461864,7.405368596553833
bicycle,自行车,180度,42.0,-2.291814653227558,7.708185346772462
bicycle,自行车,180度,43.0,-1.966311367134761,8.033688632865259
bicycle,自行车,180度,44.0,-1.6160854452653801,8.383914554734638
bicycle,自行车,180度,45.0,-1.2391007877169926,8.760899212283027
bicycle,自行车,180度,46.0,-0.8333212945871864,9.166678705412844
bicycle,自行车,180度,47.0,-0.39671086597351746,9.603289134026502
bicycle,自行车,180度,48.0,0.0727665980264085,10.072766598026446
bicycle,自行车,180度,49.0,0.5771471973150284,10.577147197315073
bicycle,自行车,180度,50.0,1.1184670317947578,11.118467031794806
bicycle,自行车,180度,51.0,1.6987622013680195,11.698762201368067
bicycle,自行车,180度,52.0,2.3200688059372254,12.32006880593728
bicycle,自行车,210度,1.0,-19.478768875159524,-9.478768875159515
bicycle,自行车,210度,2.0,-18.41381163992292,-8.41381163992291
bicycle,自行车,210度,3.0,-17.407611864908958,-7.407611864908951
bicycle,自行车,210度,4.0,-16.45813345021522,-6.458133450215216
bicycle,自行车,210度,5.0,-15.563340295939293,-5.5633402959392875
bicycle,自行车,210度,6.0,-14.721196302178747,-4.721196302178743
bicycle,自行车,210度,7.0,-13.929665369031166,-3.929665369031163
bicycle,自行车,210度,8.0,-13.186711396594129,-3.186711396594127
bicycle,自行车,210度,9.0,-12.490298284965217,-2.490298284965215
bicycle,自行车,210度,10.0,-11.838389934242006,-1.8383899342420076
bicycle,自行车,210度,11.0,-11.22895024452208,-1.2289502445220801
bicycle,自行车,210度,12.0,-10.659943115903017,-0.6599431159030171
bicycle,自行车,210度,13.0,-10.129332448482396,-0.12933244848239767
bicycle,自行车,210度,14.0,-9.635082142357795,0.36491785764220275
bicycle,自行车,210度,15.0,-9.175156097626799,0.8248439023731979
bicycle,自行车,210度,16.0,-8.747518214386982,1.2524817856130124
bicycle,自行车,210度,17.0,-8.35013239273593,1.649867607264067
bicycle,自行车,210度,18.0,-7.9809625327712155,2.0190374672287774
bicycle,自行车,210度,19.0,-7.637972534590421,2.3620274654095716
bicycle,自行车,210度,20.0,-7.319126298291131,2.6808737017088635
bicycle,自行车,210度,21.0,-7.022387723970915,2.9776122760290757
bicycle,自行车,210度,22.0,-6.745720711727364,3.2542792882726292
bicycle,自行车,210度,23.0,-6.48708916165805,3.512910838341943
bicycle,自行车,210度,24.0,-6.244456973860554,3.7555430261394367
bicycle,自行车,210度,25.0,-6.01578804843246,3.9842119515675325
bicycle,自行车,210度,26.0,-5.799046285471345,4.20095371452865
bicycle,自行车,210度,27.0,-5.5921955850747835,4.407804414925209
bicycle,自行车,210度,28.0,-5.393199847340362,4.606800152659632
bicycle,自行车,210度,29.0,-5.200022972365659,4.799977027634334
bicycle,自行车,210度,30.0,-5.010628860248248,4.989371139751741
bicycle,自行车,210度,31.0,-4.822981411085719,5.177018588914272
bicycle,自行车,210度,32.0,-4.635044524975648,5.364955475024347
bicycle,自行车,210度,33.0,-4.4447821020156155,5.555217897984386
bicycle,自行车,210度,34.0,-4.250158042303191,5.749841957696807
bicycle,自行车,210度,35.0,-4.049136245935962,5.950863754064033
bicycle,自行车,210度,36.0,-3.839680613011513,6.160319386988485
bicycle,自行车,210度,37.0,-3.6197550436274177,6.380244956372584
bicycle,自行车,210度,38.0,-3.3873234378812533,6.612676562118745
bicycle,自行车,210度,39.0,-3.1403496958706114,6.85965030412939
bicycle,自行车,210度,40.0,-2.8767977176930586,7.123202282306947
bicycle,自行车,210度,41.0,-2.5946314034461864,7.405368596553833
bicycle,自行车,210度,42.0,-2.291814653227558,7.708185346772462
bicycle,自行车,210度,43.0,-1.966311367134761,8.033688632865259
bicycle,自行车,210度,44.0,-1.6160854452653801,8.383914554734638
bicycle,自行车,210度,45.0,-1.2391007877169926,8.760899212283027
bicycle,自行车,210度,46.0,-0.8333212945871864,9.166678705412844
bicycle,自行车,210度,47.0,-0.39671086597351746,9.603289134026502
bicycle,自行车,210度,48.0,0.0727665980264085,10.072766598026446
bicycle,自行车,210度,49.0,0.5771471973150284,10.577147197315073
bicycle,自行车,210度,50.0,1.1184670317947578,11.118467031794806
bicycle,自行车,210度,51.0,1.6987622013680195,11.698762201368067
bicycle,自行车,210度,52.0,2.3200688059372254,12.32006880593728
bicycle,自行车,240度,1.0,-19.478768875159524,-9.478768875159515
bicycle,自行车,240度,2.0,-18.41381163992292,-8.41381163992291
bicycle,自行车,240度,3.0,-17.407611864908958,-7.407611864908951
bicycle,自行车,240度,4.0,-16.45813345021522,-6.458133450215216
bicycle,自行车,240度,5.0,-15.563340295939293,-5.5633402959392875
bicycle,自行车,240度,6.0,-14.721196302178747,-4.721196302178743
bicycle,自行车,240度,7.0,-13.929665369031166,-3.929665369031163
bicycle,自行车,240度,8.0,-13.186711396594129,-3.186711396594127
bicycle,自行车,240度,9.0,-12.490298284965217,-2.490298284965215
bicycle,自行车,240度,10.0,-11.838389934242006,-1.8383899342420076
bicycle,自行车,240度,11.0,-11.22895024452208,-1.2289502445220801
bicycle,自行车,240度,12.0,-10.659943115903017,-0.6599431159030171
bicycle,自行车,240度,13.0,-10.129332448482396,-0.12933244848239767
bicycle,自行车,240度,14.0,-9.635082142357795,0.36491785764220275
bicycle,自行车,240度,15.0,-9.175156097626799,0.8248439023731979
bicycle,自行车,240度,16.0,-8.747518214386982,1.2524817856130124
bicycle,自行车,240度,17.0,-8.35013239273593,1.649867607264067
bicycle,自行车,240度,18.0,-7.9809625327712155,2.0190374672287774
bicycle,自行车,240度,19.0,-7.637972534590421,2.3620274654095716
bicycle,自行车,240度,20.0,-7.319126298291131,2.6808737017088635
bicycle,自行车,240度,21.0,-7.022387723970915,2.9776122760290757
bicycle,自行车,240度,22.0,-6.745720711727364,3.2542792882726292
bicycle,自行车,240度,23.0,-6.48708916165805,3.512910838341943
bicycle,自行车,240度,24.0,-6.244456973860554,3.7555430261394367
bicycle,自行车,240度,25.0,-6.01578804843246,3.9842119515675325
bicycle,自行车,240度,26.0,-5.799046285471345,4.20095371452865
bicycle,自行车,240度,27.0,-5.5921955850747835,4.407804414925209
bicycle,自行车,240度,28.0,-5.393199847340362,4.606800152659632
bicycle,自行车,240度,29.0,-5.200022972365659,4.799977027634334
bicycle,自行车,240度,30.0,-5.010628860248248,4.989371139751741
bicycle,自行车,240度,31.0,-4.822981411085719,5.177018588914272
bicycle,自行车,240度,32.0,-4.635044524975648,5.364955475024347
bicycle,自行车,240度,33.0,-4.4447821020156155,5.555217897984386
bicycle,自行车,240度,34.0,-4.250158042303191,5.749841957696807
bicycle,自行车,240度,35.0,-4.049136245935962,5.950863754064033
bicycle,自行车,240度,36.0,-3.839680613011513,6.160319386988485
bicycle,自行车,240度,37.0,-3.6197550436274177,6.380244956372584
bicycle,自行车,240度,38.0,-3.3873234378812533,6.612676562118745
bicycle,自行车,240度,39.0,-3.1403496958706114,6.85965030412939
bicycle,自行车,240度,40.0,-2.8767977176930586,7.123202282306947
bicycle,自行车,240度,41.0,-2.5946314034461864,7.405368596553833
bicycle,自行车,240度,42.0,-2.291814653227558,7.708185346772462
bicycle,自行车,240度,43.0,-1.966311367134761,8.033688632865259
bicycle,自行车,240度,44.0,-1.6160854452653801,8.383914554734638
bicycle,自行车,240度,45.0,-1.2391007877169926,8.760899212283027
bicycle,自行车,240度,46.0,-0.8333212945871864,9.166678705412844
bicycle,自行车,240度,47.0,-0.39671086597351746,9.603289134026502
bicycle,自行车,240度,48.0,0.0727665980264085,10.072766598026446
bicycle,自行车,240度,49.0,0.5771471973150284,10.577147197315073
bicycle,自行车,240度,50.0,1.1184670317947578,11.118467031794806
bicycle,自行车,240度,51.0,1.6987622013680195,11.698762201368067
bicycle,自行车,240度,52.0,2.3200688059372254,12.32006880593728
bicycle,自行车,270度,1.0,-19.478768875159524,-9.478768875159515
bicycle,自行车,270度,2.0,-18.41381163992292,-8.41381163992291
bicycle,自行车,270度,3.0,-17.407611864908958,-7.407611864908951
bicycle,自行车,270度,4.0,-16.45813345021522,-6.458133450215216
bicycle,自行车,270度,5.0,-15.563340295939293,-5.5633402959392875
bicycle,自行车,270度,6.0,-14.721196302178747,-4.721196302178743
bicycle,自行车,270度,7.0,-13.929665369031166,-3.929665369031163
bicycle,自行车,270度,8.0,-13.186711396594129,-3.186711396594127
bicycle,自行车,270度,9.0,-12.490298284965217,-2.490298284965215
bicycle,自行车,270度,10.0,-11.838389934242006,-1.8383899342420076
bicycle,自行车,270度,11.0,-11.22895024452208,-1.2289502445220801
bicycle,自行车,270度,12.0,-10.659943115903017,-0.6599431159030171
bicycle,自行车,270度,13.0,-10.129332448482396,-0.12933244848239767
bicycle,自行车,270度,14.0,-9.635082142357795,0.36491785764220275
bicycle,自行车,270度,15.0,-9.175156097626799,0.8248439023731979
bicycle,自行车,270度,16.0,-8.747518214386982,1.2524817856130124
bicycle,自行车,270度,17.0,-8.35013239273593,1.649867607264067
bicycle,自行车,270度,18.0,-7.9809625327712155,2.0190374672287774
bicycle,自行车,270度,19.0,-7.637972534590421,2.3620274654095716
bicycle,自行车,270度,20.0,-7.319126298291131,2.6808737017088635
bicycle,自行车,270度,21.0,-7.022387723970915,2.9776122760290757
bicycle,自行车,270度,22.0,-6.745720711727364,3.2542792882726292
bicycle,自行车,270度,23.0,-6.48708916165805,3.512910838341943
bicycle,自行车,270度,24.0,-6.244456973860554,3.7555430261394367
bicycle,自行车,270度,25.0,-6.01578804843246,3.9842119515675325
bicycle,自行车,270度,26.0,-5.799046285471345,4.20095371452865
bicycle,自行车,270度,27.0,-5.5921955850747835,4.407804414925209
bicycle,自行车,270度,28.0,-5.393199847340362,4.606800152659632
bicycle,自行车,270度,29.0,-5.200022972365659,4.799977027634334
bicycle,自行车,270度,30.0,-5.010628860248248,4.989371139751741
bicycle,自行车,270度,31.0,-4.822981411085719,5.177018588914272
bicycle,自行车,270度,32.0,-4.635044524975648,5.364955475024347
bicycle,自行车,270度,33.0,-4.4447821020156155,5.555217897984386
bicycle,自行车,270度,34.0,-4.250158042303191,5.749841957696807
bicycle,自行车,270度,35.0,-4.049136245935962,5.950863754064033
bicycle,自行车,270度,36.0,-3.839680613011513,6.160319386988485
bicycle,自行车,270度,37.0,-3.6197550436274177,6.380244956372584
bicycle,自行车,270度,38.0,-3.3873234378812533,6.612676562118745
bicycle,自行车,270度,39.0,-3.1403496958706114,6.85965030412939
bicycle,自行车,270度,40.0,-2.8767977176930586,7.123202282306947
bicycle,自行车,270度,41.0,-2.5946314034461864,7.405368596553833
bicycle,自行车,270度,42.0,-2.291814653227558,7.708185346772462
bicycle,自行车,270度,43.0,-1.966311367134761,8.033688632865259
bicycle,自行车,270度,44.0,-1.6160854452653801,8.383914554734638
bicycle,自行车,270度,45.0,-1.2391007877169926,8.760899212283027
bicycle,自行车,270度,46.0,-0.8333212945871864,9.166678705412844
bicycle,自行车,270度,47.0,-0.39671086597351746,9.603289134026502
bicycle,自行车,270度,48.0,0.0727665980264085,10.072766598026446
bicycle,自行车,270度,49.0,0.5771471973150284,10.577147197315073
bicycle,自行车,270度,50.0,1.1184670317947578,11.118467031794806
bicycle,自行车,270度,51.0,1.6987622013680195,11.698762201368067
bicycle,自行车,270度,52.0,2.3200688059372254,12.32006880593728
bicycle,自行车,300度,1.0,-19.478768875159524,-9.478768875159515
bicycle,自行车,300度,2.0,-18.41381163992292,-8.41381163992291
bicycle,自行车,300度,3.0,-17.407611864908958,-7.407611864908951
bicycle,自行车,300度,4.0,-16.45813345021522,-6.458133450215216
bicycle,自行车,300度,5.0,-15.563340295939293,-5.5633402959392875
bicycle,自行车,300度,6.0,-14.721196302178747,-4.721196302178743
bicycle,自行车,300度,7.0,-13.929665369031166,-3.929665369031163
bicycle,自行车,300度,8.0,-13.186711396594129,-3.186711396594127
bicycle,自行车,300度,9.0,-12.490298284965217,-2.490298284965215
bicycle,自行车,300度,10.0,-11.838389934242006,-1.8383899342420076
bicycle,自行车,300度,11.0,-11.22895024452208,-1.2289502445220801
bicycle,自行车,300度,12.0,-10.659943115903017,-0.6599431159030171
bicycle,自行车,300度,13.0,-10.129332448482396,-0.12933244848239767
bicycle,自行车,300度,14.0,-9.635082142357795,0.36491785764220275
bicycle,自行车,300度,15.0,-9.175156097626799,0.8248439023731979
bicycle,自行车,300度,16.0,-8.747518214386982,1.2524817856130124
bicycle,自行车,300度,17.0,-8.35013239273593,1.649867607264067
bicycle,自行车,300度,18.0,-7.9809625327712155,2.0190374672287774
bicycle,自行车,300度,19.0,-7.637972534590421,2.3620274654095716
bicycle,自行车,300度,20.0,-7.319126298291131,2.6808737017088635
bicycle,自行车,300度,21.0,-7.022387723970915,2.9776122760290757
bicycle,自行车,300度,22.0,-6.745720711727364,3.2542792882726292
bicycle,自行车,300度,23.0,-6.48708916165805,3.512910838341943
bicycle,自行车,300度,24.0,-6.244456973860554,3.7555430261394367
bicycle,自行车,300度,25.0,-6.01578804843246,3.9842119515675325
bicycle,自行车,300度,26.0,-5.799046285471345,4.20095371452865
bicycle,自行车,300度,27.0,-5.5921955850747835,4.407804414925209
bicycle,自行车,300度,28.0,-5.393199847340362,4.606800152659632
bicycle,自行车,300度,29.0,-5.200022972365659,4.799977027634334
bicycle,自行车,300度,30.0,-5.010628860248248,4.989371139751741
bicycle,自行车,300度,31.0,-4.822981411085719,5.177018588914272
bicycle,自行车,300度,32.0,-4.635044524975648,5.364955475024347
bicycle,自行车,300度,33.0,-4.4447821020156155,5.555217897984386
bicycle,自行车,300度,34.0,-4.250158042303191,5.749841957696807
bicycle,自行车,300度,35.0,-4.049136245935962,5.950863754064033
bicycle,自行车,300度,36.0,-3.839680613011513,6.160319386988485
bicycle,自行车,300度,37.0,-3.6197550436274177,6.380244956372584
bicycle,自行车,300度,38.0,-3.3873234378812533,6.612676562118745
bicycle,自行车,300度,39.0,-3.1403496958706114,6.85965030412939
bicycle,自行车,300度,40.0,-2.8767977176930586,7.123202282306947
bicycle,自行车,300度,41.0,-2.5946314034461864,7.405368596553833
bicycle,自行车,300度,42.0,-2.291814653227558,7.708185346772462
bicycle,自行车,300度,43.0,-1.966311367134761,8.033688632865259
bicycle,自行车,300度,44.0,-1.6160854452653801,8.383914554734638
bicycle,自行车,300度,45.0,-1.2391007877169926,8.760899212283027
bicycle,自行车,300度,46.0,-0.8333212945871864,9.166678705412844
bicycle,自行车,300度,47.0,-0.39671086597351746,9.603289134026502
bicycle,自行车,300度,48.0,0.0727665980264085,10.072766598026446
bicycle,自行车,300度,49.0,0.5771471973150284,10.577147197315073
bicycle,自行车,300度,50.0,1.1184670317947578,11.118467031794806
bicycle,自行车,300度,51.0,1.6987622013680195,11.698762201368067
bicycle,自行车,300度,52.0,2.3200688059372254,12.32006880593728
bicycle,自行车,330度,1.0,-19.478768875159524,-9.478768875159515
bicycle,自行车,330度,2.0,-18.41381163992292,-8.41381163992291
bicycle,自行车,330度,3.0,-17.407611864908958,-7.407611864908951
bicycle,自行车,330度,4.0,-16.45813345021522,-6.458133450215216
bicycle,自行车,330度,5.0,-15.563340295939293,-5.5633402959392875
bicycle,自行车,330度,6.0,-14.721196302178747,-4.721196302178743
bicycle,自行车,330度,7.0,-13.929665369031166,-3.929665369031163
bicycle,自行车,330度,8.0,-13.186711396594129,-3.186711396594127
